cuit,year,pais,expo,labor,dext_trade,cname,ccode,tfin_real_us,develop,merco
30506414934,2008,101,280388.96,154,0,BURKINA FASO,BFA,6440.3755,0,0
33639585889,2007,102,170435.7,218,0,ALGERIA,DZA,4.9101176,0,0
30707837744,2006,102,54715.22,53,0,ALGERIA,DZA,0,0,0
30660375631,2007,102,135253.36,54,0,ALGERIA,DZA,0,0,0
30708429313,2008,102,17959.98,112,0,ALGERIA,DZA,857.27063,0,0
30708429313,2007,102,33810.14,101,0,ALGERIA,DZA,750.47272,0,0
30662520450,2005,102,43283.58,12,0,ALGERIA,DZA,0,0,0
33653239829,2008,102,1000099.01,176,0,ALGERIA,DZA,2088.1223,0,0
30707321721,2008,102,363033.51,12,0,ALGERIA,DZA,165.41754,0,0
30685001280,2004,102,101000,48,0,ALGERIA,DZA,0,0,0
30708929111,2005,102,12554.53,8,0,ALGERIA,DZA,0,0,0
30506414934,2008,102,296903.31,154,0,ALGERIA,DZA,6440.3755,0,0
30696726775,2005,102,30768.59,20,0,ALGERIA,DZA,6.6812286,0,0
33639585889,2008,102,579615.34,215,0,ALGERIA,DZA,4.3572783,0,0
30707349197,2008,102,280,54,0,ALGERIA,DZA,787.90405,0,0
30708498250,2008,102,61073.2,34,0,ALGERIA,DZA,48.534355,0,0
30707656480,2008,102,79286.59,258,0,ALGERIA,DZA,945.30676,0,0
30536780811,2007,102,89216.86,137,0,ALGERIA,DZA,0,0,0
33614072429,2007,102,46675.42,189,0,ALGERIA,DZA,0,0,0
30536780811,2006,102,48771.88,74,0,ALGERIA,DZA,0,0,0
30506414934,2006,102,137727.14,148,0,ALGERIA,DZA,1669.7369,0,0
30506414934,2007,102,887429.74,146,0,ALGERIA,DZA,4929.5645,0,0
30536780811,2005,102,96993.57000000001,96,0,ALGERIA,DZA,0,0,0
30709543802,2006,105,41967.96,20,0,,,0,0,0
30708929111,2005,105,49059.95,8,0,,,0,0,0
30708929111,2008,105,167421.28,9,0,,,130.14586,0,0
30708929111,2006,105,228481.95,15,0,,,31.332737,0,0
30708929111,2007,105,209761.78,13,0,,,32.755653,0,0
30709624535,2008,105,228197.95,12,0,,,0,0,0
30708580496,2006,105,39352.5,56,0,,,0,0,0
30707232443,2008,108,22606.65,24,0,CONGO,COG,618.38367,0,0
30670904829,2007,108,19810.65,120,0,CONGO,COG,0,0,0
30501637242,2008,108,127326.62,152,0,CONGO,COG,0,0,0
30504819988,2007,108,92486.75999999999,549,0,CONGO,COG,0,0,0
30560984770,2004,108,46720.73,3,0,CONGO,COG,0,0,0
30708929111,2008,108,15626.53,9,0,CONGO,COG,130.14586,0,0
33614072429,2008,108,20005.69,190,0,CONGO,COG,0,0,0
30708929111,2007,108,43493.05,13,0,CONGO,COG,32.755653,0,0
30709543802,2006,108,88541.73000000001,20,0,CONGO,COG,0,0,0
30708929111,2006,108,75066.12,15,0,CONGO,COG,31.332737,0,0
30707731601,2008,109,22692.5,118,0,,,0,0,0
30504819988,2008,109,105256.09,504,0,,,0,0,0
30709543802,2008,110,272925.37,20,0,COTE D'IVOIRE,CIV,55.785885,0,0
30707656480,2006,110,6949.55,231,0,COTE D'IVOIRE,CIV,.032740582,0,0
30578885567,2005,110,46902.81,409,0,COTE D'IVOIRE,CIV,288.67041,0,0
30708929111,2006,110,77131.75,15,0,COTE D'IVOIRE,CIV,31.332737,0,0
30708929111,2007,110,137258.03,13,0,COTE D'IVOIRE,CIV,32.755653,0,0
30708929111,2008,110,57272.67,9,0,COTE D'IVOIRE,CIV,130.14586,0,0
30708929111,2007,112,66038.11,13,0,BENIN,BEN,32.755653,0,0
30670904829,2008,112,25733.31,128,0,BENIN,BEN,0,0,0
30708929111,2008,112,19090.89,9,0,BENIN,BEN,130.14586,0,0
